cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength
168,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
168,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82
168,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24
168,42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85
168,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9
213.8,98.1,24.5,181.7,6.7,1066,785.5,3,13.18
213.8,98.1,24.5,181.7,6.7,1066,785.5,14,17.84
213.8,98.1,24.5,181.7,6.7,1066,785.5,28,40.23
213.8,98.1,24.5,181.7,6.7,1066,785.5,56,47.13
213.8,98.1,24.5,181.7,6.7,1066,785.5,100,49.97
182,45.2,122,170.2,8.2,1059.4,780.7,3,7.32
182,45.2,122,170.2,8.2,1059.4,780.7,14,21.5
182,45.2,122,170.2,8.2,1059.4,780.7,28,31.27
182,45.2,122,170.2,8.2,1059.4,780.7,56,43.5
182,45.2,122,170.2,8.2,1059.4,780.7,100,48.67
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,30.45
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,63.14
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,66.82
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100,66.95
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14,35.96
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,63.53
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,52.2
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63
397,17.2,158,167,20.8,967,633,28,55.65
333,17.5,163,167,17.9,996,652,28,47.28
334,17.6,158,189,15.3,967,633,28,44.33
145,116,119,184,5.7,833,880,28,29.16
160,128,122,182,6.4,824,879,28,39.4
250,180,95,159,9.5,860,800,28,67.87
275,180,120,162,10.4,830,765,28,76.24
165,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
178,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3,21.29
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,23.08
167,75.4,167,164,7.9,1007.3,770.1,3,15.52
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82
165,128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09
178,129.8,118.6,179.9,3.6,1007.3,746.8,14,34.24
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01
167,75.4,167,164,7.9,1007.3,770.1,14,32.9
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
165,128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39
178,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2
167,75.4,167,164,7.9,1007.3,770.1,28,41.41
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,37.81
165,128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72
178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77
167,75.4,167,164,7.9,1007.3,770.1,56,53.46
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99
165,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02
178,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06
167,75.4,167,164,7.9,1007.3,770.1,100,56.81
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100,50.94
446,24,79,162,11.6,967,712,28,57.03
446,24,79,162,11.6,967,712,28,44.42
446,24,79,162,11.6,967,712,28,51.02
446,24,79,162,10.3,967,712,28,53.39
446,24,79,162,11.6,967,712,3,35.36
446,24,79,162,11.6,967,712,3,25.02
446,24,79,162,11.6,967,712,3,23.35
446,24,79,162,11.6,967,712,7,52.01
446,24,79,162,11.6,967,712,7,38.02
446,24,79,162,11.6,967,712,7,39.3
446,24,79,162,11.6,967,712,56,61.07
446,24,79,162,11.6,967,712,56,56.14
446,24,79,162,11.6,967,712,56,55.25
446,24,79,162,10.3,967,712,56,54.77
387,20,94,157,14.3,938,845,28,50.24
387,20,94,157,13.9,938,845,28,46.68
387,20,94,157,11.6,938,845,28,46.68
387,20,94,157,14.3,938,845,3,22.75
387,20,94,157,13.9,938,845,3,25.51
387,20,94,157,11.6,938,845,3,34.77
387,20,94,157,14.3,938,845,7,36.84
387,20,94,157,13.9,938,845,7,45.9
387,20,94,157,11.6,938,845,7,41.67
387,20,94,157,14.3,938,845,56,56.34
387,20,94,157,13.9,938,845,56,47.97
387,20,94,157,11.6,938,845,56,61.46
355,19,97,145,13.1,967,871,28,44.03
355,19,97,145,12.3,967,871,28,55.45
491,26,123,210,3.9,882,699,28,55.55
491,26,123,201,3.9,822,699,28,57.92
491,26,123,210,3.9,882,699,3,25.61
491,26,123,210,3.9,882,699,7,33.49
491,26,123,210,3.9,882,699,56,59.59
491,26,123,201,3.9,822,699,3,29.55
491,26,123,201,3.9,822,699,7,37.92
491,26,123,201,3.9,822,699,56,61.86
424,22,132,178,8.5,822,750,28,62.05
424,22,132,178,8.5,882,750,3,32.01
424,22,132,168,8.9,822,750,28,72.1
424,22,132,178,8.5,822,750,7,39
424,22,132,178,8.5,822,750,56,65.7
424,22,132,168,8.9,822,750,3,32.11
424,22,132,168,8.9,822,750,7,40.29
424,22,132,168,8.9,822,750,56,74.36
202,11,141,206,1.7,942,801,28,21.97
202,11,141,206,1.7,942,801,3,9.85
202,11,141,206,1.7,942,801,7,15.07
202,11,141,206,1.7,942,801,56,23.25
284,15,141,179,5.5,842,801,28,43.73
284,15,141,179,5.5,842,801,3,13.4
284,15,141,179,5.5,842,801,7,24.13
284,15,141,179,5.5,842,801,56,44.52
359,19,141,154,10.9,942,801,28,62.94
359,19,141,154,10.9,942,801,28,59.49
359,19,141,154,10.9,942,801,3,25.12
359,19,141,154,10.9,942,801,3,23.64
359,19,141,154,10.9,942,801,7,35.75
359,19,141,154,10.9,942,801,7,38.61
359,19,141,154,10.9,942,801,56,68.75
359,19,141,154,10.9,942,801,56,66.78
273,105,82,210,9,904,680,28,37.17
162,190,148,179,19,838,741,28,33.76
154,144,112,220,10,923,658,28,16.5
147,115,89,202,9,860,829,28,19.99
152,178,139,168,18,944,695,28,36.35
310,143,111,168,22,914,651,28,33.69
159,149,116,175,15,953,720,28,27.68
142,167,130,174,11,883,785,28,44.61
298,137,107,201,6,878,655,28,53.52
280,129,100,172,9,825,805,28,52.82
252,97,76,194,8,835,821,28,33.4
160,188,146,203,11,829,710,28,32.84
287,121,94,188,9,904,696,28,41.94
132,207,161,179,5,867,736,28,33.3
140,164,128,237,6,869,656,28,35.23
265,111,86,195,6,833,790,28,41.54
276,116,90,180,9,870,768,28,44.28
149,139,109,193,6,892,780,28,23.69
261,100,78,201,9,864,761,28,32.4
237,92,71,247,6,853,695,28,28.63
153,145,113,178,8,1002,689,28,25.56
140,133,103,200,7,916,753,28,36.44
153,145,113,178,8,867,824,28,26.23
262,111,86,195,5,895,733,28,33.72
149,118,92,183,7,953,780,28,23.52
143,169,143,191,8,967,643,28,29.72
260,101,78,171,10,936,763,28,49.77
144,170,133,192,8,814,805,28,29.87
266,112,87,178,10,910,745,28,39.42
314,145,113,179,8,869,690,28,46.23
144,136,106,178,7,941,774,28,26.14
277,117,91,191,7,946,666,28,43.57
155,184,143,194,9,880,699,28,28.99
136,162,126,172,10,923,764,28,29.07
255,99,77,189,6,919,749,28,33.8
162,207,172,216,10,822,638,28,39.84
136,196,98,199,6,847,783,28,26.97
164,163,128,197,8,961,641,28,27.23
162,214,164,202,10,820,680,28,30.65
157,214,152,200,9,819,704,28,33.05
149,153,194,192,8,935,623,28,24.58
135,105,193,196,6,965,643,28,21.91
159,209,161,201,7,848,669,28,30.88
144,15,195,176,6,1021,709,28,15.34
154,174,185,228,7,845,612,28,24.34
167,187,195,185,7,898,636,28,23.89
184,86,190,213,6,923,623,28,22.93
156,178,187,221,7,854,614,28,29.41
236.9,91.7,71.5,246.9,6,852.9,695.4,28,28.63
153.1,145,113,178.5,8,1001.9,688.7,28,25.56
139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.44
153.1,145,113,178.5,8,867.2,824,28,26.23
261.9,110.5,86.1,195.4,5,895.2,732.6,28,33.72
149,117.6,91.7,182.9,7.1,953.4,780.3,28,23.52
143,169.4,142.7,190.7,8.4,967.4,643.5,28,29.73
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42
314,145.3,113.2,178.9,8,869.1,690.2,28,46.23
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.15
277,116.8,91,190.6,7,946.5,665.6,28,43.58
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.99
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07
255.3,98.8,77,188.6,6.5,919,749.3,28,33.8
272.8,105.1,81.8,209.7,9,904,679.7,28,37.17
162,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5
146.5,114.6,89.3,201.9,8.8,860,829.5,28,19.99
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.35
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22
158.6,148.9,116,175.1,15,953.3,719.7,28,27.68
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.61
297.8,137.2,106.9,201.3,6,878.4,655.3,28,53.52
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.83
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4
160.2,188,146.4,203.2,11.3,828.7,709.7,28,35.31
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.8
132,206.5,160.9,178.9,5.5,866.9,735.6,28,33.31
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.23
264.5,111,86.5,195.5,5.9,832.6,790.4,28,41.54
276.4,116,90.3,179.6,8.9,870.1,768.3,28,44.28
148.5,139.4,108.6,192.7,6.1,892.4,780,28,23.7
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.4
